area,coordinate center x,coordinate center y
567.5559038662487,644.1278300243818,478.5
1113.2384942803938,748.2846501729183,1253.0
664.7538940809969,23.59968847352025,107.0
423.0866141732283,1119.1653543307086,63.5
872.3283333333333,745.7483333333333,100.0
19.793248945147678,612.1603375527426,118.5
387.8277571251549,643.6493184634448,134.5
528.764367816092,1218.9913793103449,58.0
793.0780141843971,816.080378250591,70.5
181.52309612983768,607.1223470661672,133.5
618.0663580246915,1248.317901234568,108.0
859.8808193668528,687.68156424581,89.5
805.3743169398907,70.4071038251366,61.0
617.4786324786324,1236.5264957264956,97.5
1245.831746031746,672.4174603174603,105.0
664.7356902356902,12.257575757575758,99.0
1009.7092592592592,680.6074074074074,90.0
577.7666666666667,633.8456140350877,95.0
600.9880952380952,855.4190476190477,70.0
1086.6993006993007,680.1818181818181,71.5
261.2147239263804,604.6114519427404,81.5
609.4013071895425,1092.0653594771243,127.5
416.3643410852713,601.1116279069768,107.5
1010.4444444444443,678.9171374764595,88.5
